audio_path,text
speech_dataset/audio\sample-000000.mp3,learn to recognize omens and follow them the old king had said
speech_dataset/audio\sample-000001.mp3,everything in the universe evolved he said
speech_dataset/audio\sample-000002.mp3,you came so that you could learn about your dreams said the old woman
speech_dataset/audio\sample-000003.mp3,so now i fear nothing because it was those omens that brought you to me
speech_dataset/audio\sample-000004.mp3,if you start your emails with greetings let me be the first to welcome you to earth
speech_dataset/audio\sample-000005.mp3,a shepherd may like to travel but he should never forget about his sheep
speech_dataset/audio\sample-000006.mp3,night fell and an assortment of fighting men and merchants entered and exited the tent
speech_dataset/audio\sample-000007.mp3,i heard a faint movement under my feet
speech_dataset/audio\sample-000008.mp3,put jackie right on the staff
speech_dataset/audio\sample-000009.mp3,when he speaks in our language i can interpret what he has said
speech_dataset/audio\sample-000010.mp3,you must not let up even after having come so far he continued
